0,RootNode
1,RIG-dogrig
2,root
3,MCH-eyes_parent
4,eyes
5,eye.L
6,eye.R
7,DEF-spine.004
8,DEF-spine.005
9,DEF-spine.006
10,DEF-spine.007
11,DEF-spine.008
12,DEF-spine.009
13,DEF-spine.010
14,DEF-spine.011
15,VIS_front_thigh_ik_pole.L
16,VIS_front_thigh_ik_pole.R
17,VIS_thigh_ik_pole.L
18,VIS_thigh_ik_pole.R
19,MCH-torso.parent
20,torso
21,hips
22,chest
23,MCH-spine.005
24,spine_fk.005
25,MCH-spine.004
26,spine_fk.004
27,tweak_spine.004
28,ORG-spine.004
29,MCH-ROT-tail
30,spine.003
31,spine.002
32,spine.001
33,spine
34,tweak_spine.001
35,ORG-spine.001
36,tweak_spine
37,ORG-spine
38,DEF-spine
39,DEF-spine.001
40,DEF-spine.002
41,DEF-spine.003
42,tweak_spine.002
43,ORG-spine.002
44,tweak_spine.003
45,ORG-spine.003
46,spine_master.003
47,tweak_spine.005
48,ORG-spine.005
49,ORG-pelvis.L
50,DEF-pelvis.L
51,ORG-pelvis.R
52,DEF-pelvis.R
53,ORG-thigh.L
54,ORG-shin.L
55,ORG-foot.L
56,ORG-toe.L
57,MCH-toe_tweak.L
58,toe_tweak.L
59,MCH-toe.L
60,toe.L
61,MCH-foot_tweak.L
62,foot_tweak.L
63,MCH-foot_tweak.L.001
64,foot_tweak.L.001
65,MCH-shin_tweak.L
66,shin_tweak.L
67,MCH-shin_tweak.L.001
68,shin_tweak.L.001
69,MCH-thigh_parent_widget.L
70,MCH-thigh_tweak.L.001
71,thigh_tweak.L.001
72,ORG-thigh.R
73,ORG-shin.R
74,ORG-foot.R
75,ORG-toe.R
76,MCH-toe_tweak.R
77,toe_tweak.R
78,MCH-toe.R
79,toe.R
80,MCH-foot_tweak.R
81,foot_tweak.R
82,MCH-foot_tweak.R.001
83,foot_tweak.R.001
84,MCH-shin_tweak.R
85,shin_tweak.R
86,MCH-shin_tweak.R.001
87,shin_tweak.R.001
88,MCH-thigh_parent_widget.R
89,MCH-thigh_tweak.R.001
90,thigh_tweak.R.001
91,thigh_parent.L
92,MCH-thigh_parent.L
93,thigh_fk.L
94,shin_fk.L
95,MCH-foot_fk.L
96,foot_fk.L
97,thigh_ik.L
98,MCH-thigh_ik_swing.L
99,MCH-thigh_ik.L
100,MCH-shin_ik.L
101,MCH-thigh_ik2.L
102,MCH-shin_ik2.L
103,MCH-shin_ik3.L
104,MCH-foot_ik3.L
105,foot_heel_ik.L
106,MCH-thigh_ik_target.L
107,MCH-thigh_tweak.L
108,thigh_tweak.L
109,DEF-thigh.L
110,DEF-thigh.L.001
111,DEF-shin.L
112,DEF-shin.L.001
113,DEF-foot.L
114,DEF-foot.L.001
115,DEF-toe.L
116,thigh_parent.R
117,MCH-thigh_parent.R
118,thigh_fk.R
119,shin_fk.R
120,MCH-foot_fk.R
121,foot_fk.R
122,thigh_ik.R
123,MCH-thigh_ik_swing.R
124,MCH-thigh_ik.R
125,MCH-shin_ik.R
126,MCH-thigh_ik2.R
127,MCH-shin_ik2.R
128,MCH-shin_ik3.R
129,MCH-foot_ik3.R
130,foot_heel_ik.R
131,MCH-thigh_ik_target.R
132,MCH-thigh_tweak.R
133,thigh_tweak.R
134,DEF-thigh.R
135,DEF-thigh.R.001
136,DEF-shin.R
137,DEF-shin.R.001
138,DEF-foot.R
139,DEF-foot.R.001
140,DEF-toe.R
141,MCH-WGT-hips
142,MCH-spine.006
143,spine_fk.006
144,MCH-pivot
145,tweak_spine.006
